city,state,country,population,Lat,Lon,hoods_city_id,hoods_city_name
Vaughan,,CA,288301,43.83709613,-79.53895569,2615,Vaughan
Newmarket,,CA,79978,44.05862546,-79.45741653,2802,Newmarket
Whitchurch-Stouffville,,CA,37628,43.96770826,-79.24369812,2820,Whitchurch-Stouffville
King,,CA,19899,43.93075531,-79.51901078,,
Denville,NJ,,15824,40.88786272,-74.47784185,,
Rancho Cordova,CA,,64776,38.58885795,-121.3022804,545,Rancho Cordova
West St Paul,MN,,19540,44.91560935,-93.09831619,2126,West St. Paul
Mendota Heights,MN,,11071,44.8833637,-93.13848495,,
Champaign,IL,,81055,40.11583222,-88.24235916,395,Champaign
Fairfax,VA,,22565,38.84580359,-77.30538368,1871,Fairfax
Vienna,VA,,16370,38.90108635,-77.265172,,
Oklahoma City,OK,,579816,35.46018058,-97.52426147,31,Oklahoma City
Anchorage,AK,,291826,61.20092717,-149.8727417,64,Anchorage
Garland,TX,,226285,32.91117137,-96.64020538,87,Garland
Aurora,IL,,197834,41.75737126,-88.3146286,113,Aurora
Fontana,CA,,196069,34.09007423,-117.4338913,115,Fontana
Yonkers,NY,,195976,40.93000173,-73.89644623,116,Yonkers
Moreno Valley,CA,,193365,33.94073425,-117.228756,120,Moreno Valley
Huntington Beach,CA,,189938,33.65971909,-117.9984856,123,Huntington Beach
